Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-02-27,LONG,1900.7,1893.1,105.22,-800.0,44004.63,2.15,SL
2026-03-04,SHORT,1870.8,1878.28,106.91,-800.0,43204.63,3.93,SL
2026-03-05,LONG,1907.6,1924.4,104.84,1761.38,44966.01,0.01,TARGET
2026-03-06,SHORT,1882.9,1873.0,106.22,1051.57,46017.58,0.0,EOD
2026-03-09,LONG,1854.0,1868.0,107.87,1510.25,47527.82,0.0,TARGET
2026-03-10,LONG,1851.8,1855.7,108.0,421.21,47949.04,0.0,EOD
2026-03-11,LONG,1827.1,1819.79,109.46,-800.0,47149.04,1.67,SL
2026-03-13,LONG,1815.3,1808.04,110.17,-800.0,46349.04,3.34,SL
2026-03-16,LONG,1787.9,1780.75,111.86,-800.0,45549.04,5.01,SL
2026-03-17,SHORT,1821.6,1808.2,109.79,1471.23,47020.27,1.94,TARGET
2026-03-18,SHORT,1851.2,1858.6,108.04,-800.0,46220.27,3.61,SL
2026-03-19,LONG,1842.5,1856.7,108.55,1541.38,47761.65,0.39,TARGET
2026-03-20,SHORT,1852.3,1844.8,107.97,809.8,48571.46,0.0,EOD
2026-03-23,SHORT,1795.3,1802.48,111.4,-800.0,47771.46,1.65,SL
2026-03-24,SHORT,1795.4,1782.3,111.4,1459.28,49230.74,0.0,TARGET
2026-03-25,LONG,1819.4,1840.0,109.93,2264.48,51495.23,0.0,TARGET
2026-03-30,LONG,1803.0,1795.79,110.93,-800.0,50695.23,1.55,SL
2026-04-01,SHORT,1802.8,1780.4,110.94,2485.02,53180.25,0.0,TARGET
2026-04-02,SHORT,1763.3,1748.2,113.42,1712.7,54892.95,0.0,TARGET
2026-04-07,SHORT,1807.5,1814.73,110.65,-800.0,54092.95,1.46,SL
2026-04-08,LONG,1856.3,1861.0,107.74,506.38,54599.33,0.53,EOD
2026-04-09,SHORT,1846.8,1854.19,108.3,-800.0,53799.33,1.99,SL
