Date,Capital,DailyPnL
2025-09-22,7600.713333333327,-52.66666666667243
2025-09-23,7564.046666666659,-36.66666666666788
2025-09-24,7450.613333333326,-113.43333333333248
2025-09-25,7462.159999999992,11.54666666666526
2025-09-26,7650.159999999989,187.99999999999727
2025-09-29,7548.72666666666,-101.4333333333293
2025-09-30,7440.89333333333,-107.83333333333053
2025-10-01,7614.259999999992,173.3666666666619
2025-10-03,7515.993333333331,-98.2666666666612
2025-10-06,7403.193333333333,-112.79999999999882
2025-10-07,7304.393333333337,-98.79999999999563
2025-10-08,7193.460000000005,-110.93333333333248
2025-10-09,7130.59333333334,-62.86666666666497
2025-10-10,7055.793333333335,-74.80000000000518
2025-10-13,6966.493333333334,-89.30000000000155
2025-10-14,6905.5933333333305,-60.9000000000035
2025-10-15,7033.893333333329,128.29999999999836
2025-10-16,6997.893333333329,-36.0
2025-10-17,6973.226666666665,-24.66666666666424
2025-10-20,6901.226666666665,-72.0
2025-10-21,6901.226666666665,0.0
2025-10-23,6806.326666666666,-94.89999999999918
2025-10-24,6739.326666666663,-67.00000000000273
2025-10-27,6664.459999999995,-74.8666666666686
2025-10-28,6595.959999999994,-68.50000000000136
2025-10-29,6579.159999999994,-16.799999999999272
2025-10-30,6522.893333333321,-56.2666666666737
2025-10-31,6446.393333333326,-76.49999999999409
2025-11-03,6392.443333333332,-53.94999999999436
2025-11-04,6500.909999999995,108.46666666666351
2025-11-06,6431.57666666666,-69.33333333333576
2025-11-07,6376.643333333322,-54.93333333333794
2025-11-10,6315.109999999985,-61.533333333336486
2025-11-11,6365.509999999979,50.39999999999418
2025-11-12,6275.309999999979,-90.20000000000073
2025-11-13,6219.309999999983,-55.99999999999568
2025-11-14,6137.709999999981,-81.60000000000218
2025-11-17,6087.076666666657,-50.63333333332366
2025-11-18,6185.243333333327,98.16666666667061
2025-11-19,6267.82333333333,82.58000000000311
2025-11-20,6202.823333333332,-64.99999999999773
2025-11-21,6137.389999999999,-65.43333333333248
2025-11-24,6182.9100000000035,45.520000000004075
2025-11-25,6084.110000000007,-98.79999999999654
2025-11-26,6092.1766666666745,8.066666666667516
2025-11-27,6031.176666666668,-61.00000000000637
2025-11-28,5967.8433333333305,-63.33333333333758
2025-12-01,5970.8433333333305,3.0
2025-12-02,5899.909999999999,-70.93333333333157
2025-12-03,5904.709999999999,4.800000000000637
2025-12-04,5810.443333333332,-94.26666666666733
2025-12-05,5748.043333333333,-62.39999999999873
2025-12-08,5689.243333333332,-58.80000000000109
2025-12-09,5700.243333333332,11.0
2025-12-10,5634.243333333332,-66.0
2025-12-11,5542.64333333333,-91.60000000000218
2025-12-12,5495.543333333329,-47.100000000000364
2025-12-15,5419.5433333333285,-76.00000000000102
2025-12-16,5352.676666666665,-66.86666666666292
2025-12-17,5298.366666666672,-54.309999999993124
2025-12-18,5218.286666666676,-80.07999999999629
2025-12-19,5169.976666666677,-48.30999999999858
2025-12-22,5126.556666666676,-43.42000000000098
2025-12-23,5075.723333333339,-50.83333333333769
2025-12-24,5085.723333333337,9.999999999998181
2025-12-26,5036.956666666671,-48.766666666666424
2025-12-29,4947.823333333337,-89.13333333333367
2025-12-30,4895.723333333339,-52.099999999998545
2025-12-31,4814.92333333334,-80.79999999999836
2026-01-01,4771.99000000001,-42.933333333330665
2026-01-02,4807.590000000007,35.59999999999809
2026-01-05,4724.490000000007,-83.10000000000036
2026-01-06,4656.506666666675,-67.98333333333142
2026-01-07,4663.1733333333395,6.666666666664241
2026-01-08,4710.440000000007,47.266666666667334
2026-01-09,4651.340000000008,-59.099999999998545
2026-01-12,4565.210000000007,-86.13000000000102
2026-01-13,4590.783333333341,25.57333333333372
2026-01-14,4509.58333333334,-81.20000000000073
2026-01-16,4556.330000000006,46.74666666666599
2026-01-19,4498.313333333343,-58.016666666663355
2026-01-20,4499.7266666666765,1.413333333333867
2026-01-21,4418.7933333333385,-80.93333333333794
2026-01-22,4361.560000000009,-57.233333333330165
2026-01-23,4446.2266666666765,84.66666666666788
2026-01-27,4398.56000000001,-47.666666666666515
2026-01-28,4339.126666666677,-59.43333333333317
2026-01-29,4334.210000000009,-4.916666666667879
2026-01-30,4286.710000000009,-47.5
