Date,Capital,DailyPnL,Symbol
2026-03-25,7576.519912999982,-67.9044,ULTRACEMCO
2026-03-27,7488.094432999982,-88.42548,BAJFINANCE
2026-03-30,7434.207382999982,-53.88705,SUNPHARMA
2026-04-01,7390.405282999976,-43.80210000000491,RELIANCE
2026-04-02,7312.369582999975,-78.03570000000136,ADANIPORTS
2026-04-06,7322.666982999975,10.297399999999092,INFY
2026-04-07,7242.424982999974,-80.242,BAJFINANCE
2026-04-08,7171.872682999974,-70.5523,TCS
2026-04-09,7171.872682999974,0.0,
2026-04-10,7439.005412999975,267.1327300000008,SUNPHARMA
2026-04-13,7590.486532999977,151.48112000000128,RELIANCE
2026-04-15,7527.9400329999735,-62.546500000003405,ADANIPORTS
2026-04-16,7392.909612999974,-135.03041999999874,TCS
2026-04-17,7344.459912999974,-48.4497,ULTRACEMCO
2026-04-20,7294.499612999976,-49.96029999999763,RELIANCE
2026-04-21,7216.069942999977,-78.42966999999999,BAJFINANCE
2026-04-22,7235.664902999974,19.594959999998,HINDUNILVR
2026-04-23,7148.413502999975,-87.25139999999932,SUNPHARMA
2026-04-24,7375.034852999976,226.62135,HINDUNILVR
2026-04-27,7350.974322999972,-24.06053000000314,HDFCBANK
2026-04-28,7296.550722999978,-54.423599999994906,TCS
2026-04-29,7210.950262999975,-85.600460000002,ADANIPORTS
2026-04-30,7159.315462999975,-51.6348,MARUTI
2026-05-04,7095.186187999976,-64.12927499999893,KOTAKBANK
2026-05-05,7312.932637999974,217.74644999999796,HDFCBANK
2026-05-06,7225.525672999975,-87.40696499999939,BAJFINANCE
2026-05-07,7148.822312999975,-76.70335999999963,M&M
2026-05-08,7228.914437999975,80.09212500000001,HDFCBANK
2026-05-11,7175.243427999974,-53.67101000000086,SUNPHARMA
2026-05-12,7111.061877999973,-64.18155000000137,TCS
2026-05-13,7067.422787999974,-43.6390899999985,BHARTIARTL
2026-05-14,7050.650367999976,-16.772419999998725,BHARTIARTL
2026-05-15,7033.379347999975,-17.27102000000059,SUNPHARMA
2026-05-18,6947.425507999972,-85.95384000000254,HINDUNILVR
2026-05-19,6860.552447999972,-86.87306,BAJFINANCE
2026-05-20,6937.525247999975,76.97280000000346,M&M
2026-05-21,6853.1527679999745,-84.37248000000073,ADANIPORTS
2026-05-22,7334.724812999975,481.5720450000009,WIPRO
2026-05-25,7254.419972999978,-80.30483999999745,ICICIBANK
2026-05-26,7226.360897999979,-28.059074999998977,HDFCBANK
2026-05-27,7291.035947999979,64.67505,ADANIPORTS
2026-05-29,7245.378347999978,-45.65760000000091,ADANIPORTS
2026-06-01,7155.792497999981,-89.58584999999727,HINDUNILVR
2026-06-02,7457.289777999979,301.49727999999857,INFY
2026-06-03,7656.93812799998,199.64835,TCS
2026-06-04,7623.97037799998,-32.96775,TITAN
2026-06-05,7530.864133999982,-93.10624399999735,WIPRO
2026-06-08,7437.497158999979,-93.3669750000039,BAJFINANCE
2026-06-09,7365.708158999979,-71.789,BHARTIARTL
2026-06-10,7414.523918999981,48.81576000000255,HINDUNILVR
2026-06-11,7620.143618999977,205.61969999999528,ICICIBANK
2026-06-12,7614.20691899998,-5.936699999996179,BHARTIARTL
2026-06-15,7523.423918999983,-90.78299999999808,M&M
2026-06-16,7596.319838999981,72.89591999999854,TITAN
2026-06-17,7606.0242889999745,9.70444999999382,HINDUNILVR
2026-06-18,7626.483958999973,20.459669999998503,INFY
2026-06-19,7575.147958999977,-51.335999999995636,HDFCBANK
2026-06-22,7488.4397089999775,-86.70824999999999,TCS
2026-06-23,7458.870748999976,-29.56896000000164,INFY
2026-06-24,7414.798418999973,-44.07233000000309,HINDUNILVR
2026-06-25,7361.959658999972,-52.83876000000118,ICICIBANK
2026-06-29,7448.776618999974,86.81696000000154,HINDUNILVR
2026-06-30,7359.237738999978,-89.53887999999563,TITAN
2026-07-01,7372.371338999978,13.133600000000364,ADANIPORTS
2026-07-02,7333.667738999979,-38.7036,ULTRACEMCO
2026-07-03,7250.536178999979,-83.13156000000001,BAJFINANCE
